RecordID,Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value
1,Afghanistan,F,Education,Higher,... if she burns the food,1/1/2015,10.1
1,Afghanistan,F,Education,Secondary,... if she burns the food,1/1/2015,13.7
1,Afghanistan,F,Education,Primary,... if she burns the food,1/1/2015,13.8
1,Afghanistan,F,Age,35-49,... if she burns the food,1/1/2015,18.8
1,Afghanistan,F,Education,No education,... if she burns the food,1/1/2015,19.1
1,Afghanistan,F,Employment,Employed for cash,... if she burns the food,1/1/2015,20.8
1,Afghanistan,M,Education,No education,... if she burns the food,1/1/2015,10.6
1,Afghanistan,M,Employment,Employed for kind,... if she burns the food,1/1/2015,10.7
351,Afghanistan,F,Age,15-24,... for at least one specific reason,1/1/2015,80.1
351,Afghanistan,F,Age,25-34,... for at least one specific reason,1/1/2015,81.5
351,Afghanistan,F,Age,35-49,... for at least one specific reason,1/1/2015,79
71,Afghanistan,F,Age,15-24,... if she argues with him,1/1/2015,57.5
71,Afghanistan,F,Age,25-34,... if she argues with him,1/1/2015,60
71,Afghanistan,F,Age,35-49,... if she argues with him,1/1/2015,59.8
141,Afghanistan,F,Age,15-24,... if she goes out without telling him,1/1/2015,67.7
141,Afghanistan,M,Residence,Rural,... if she goes out without telling him,1/1/2015,65.6
141,Afghanistan,M,Residence,Urban,... if she goes out without telling him,1/1/2015,46
211,Afghanistan,M,Residence,Rural,... if she neglects the children,1/1/2015,28.1
211,Afghanistan,M,Residence,Urban,... if she neglects the children,1/1/2015,19.6
281,Afghanistan,M,Residence,Rural,... if she refuses to have sex with him,1/1/2015,21.9
144,Armenia,F,Employment,Employed for kind,... if she goes out without telling him,1/1/2015,19.8
144,Armenia,F,Employment,Unemployed,... if she goes out without telling him,1/1/2015,4.2
214,Armenia,F,Employment,Employed for cash,... if she neglects the children,1/1/2015,7.6
214,Armenia,F,Employment,Employed for kind,... if she neglects the children,1/1/2015,24.4
284,Armenia,F,Marital status,Married or living together,... if she refuses to have sex with him,1/1/2015,0.9
284,Armenia,F,Marital status,Never married,... if she refuses to have sex with him,1/1/2015,0.5
284,Armenia,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,1/1/2015,0.8
354,Armenia,F,Residence,Rural,... for at least one specific reason,1/1/2015,15.7
354,Armenia,F,Residence,Urban,... for at least one specific reason,1/1/2015,6.3
354,Armenia,M,Age,15-24,... for at least one specific reason,1/1/2015,24.3
354,Armenia,M,Age,25-34,... for at least one specific reason,1/1/2015,23
354,Armenia,M,Age,35-49,... for at least one specific reason,1/1/2015,20.9
214,Armenia,M,Age,15-24,... if she neglects the children,1/1/2015,18.9
214,Armenia,M,Age,25-34,... if she neglects the children,1/1/2015,16.6
214,Armenia,M,Age,35-49,... if she neglects the children,1/1/2015,16.4
8,Bolivia,F,Education,Higher,... if she burns the food,1/1/2008,0.6
8,Bolivia,F,Residence,Urban,... if she burns the food,1/1/2008,2.2
8,Bolivia,F,Age,25-34,... if she burns the food,1/1/2008,2.6
8,Bolivia,F,Employment,Unemployed,... if she burns the food,1/1/2008,2.6
288,Bolivia,F,Age,15-24,... if she refuses to have sex with him,1/1/2008,1.8
288,Bolivia,F,Age,25-34,... if she refuses to have sex with him,1/1/2008,2.1
288,Bolivia,F,Age,35-49,... if she refuses to have sex with him,1/1/2008,2.9
358,Bolivia,F,Education,Higher,... for at least one specific reason,1/1/2008,5.7
358,Bolivia,F,Education,No education,... for at least one specific reason,1/1/2008,23.4
358,Bolivia,F,Education,Primary,... for at least one specific reason,1/1/2008,20.3
